"metric","metric_role","fixed_K","year_pair","distance"
"cut","primary",6,"2015-2016",2.7196678919475
"cut","primary",6,"2016-2017",1.62674265695419
"cut","primary",6,"2017-2018",3.94307517963057
"cut","primary",6,"2018-2019",2.98160656950769
"cut","primary",6,"2019-2020",3.13850042072826
"cut","primary",6,"2020-2021",2.6654299898262
"cut","primary",6,"2021-2022",2.04778142466128
"cut","primary",6,"2022-2023",5.33386881380445
"cut","primary",6,"2023-2024",3.86068859013946
"wasserstein","secondary",6,"2006-2007",3.277731851327
"wasserstein","secondary",6,"2007-2008",3.42333471926632
"wasserstein","secondary",6,"2008-2009",1.72745602750957
"wasserstein","secondary",6,"2009-2010",2.66886405479602
"wasserstein","secondary",6,"2010-2011",0.887005687338531
"wasserstein","secondary",6,"2011-2012",2.94550857142833
"wasserstein","secondary",6,"2012-2013",2.10658566682349
"wasserstein","secondary",6,"2013-2014",3.3195371204001
"wasserstein","secondary",6,"2014-2015",1.19766845618272
"wasserstein","secondary",6,"2015-2016",3.24811136404888
"wasserstein","secondary",6,"2016-2017",1.40351672123382
"wasserstein","secondary",6,"2017-2018",4.78386525956357
"wasserstein","secondary",6,"2018-2019",4.03887400534701
"wasserstein","secondary",6,"2019-2020",3.18143057621478
"wasserstein","secondary",6,"2020-2021",2.11773113720075
"wasserstein","secondary",6,"2021-2022",1.50046533955618
"wasserstein","secondary",6,"2022-2023",4.59409660216642
"wasserstein","secondary",6,"2023-2024",5.33166382884721
"jensen_shannon","exploratory",6,"2006-2007",0.0595865362624564
"jensen_shannon","exploratory",6,"2007-2008",0.0636560171719865
"jensen_shannon","exploratory",6,"2008-2009",0.011236073185669
"jensen_shannon","exploratory",6,"2009-2010",0.0215444620147197
"jensen_shannon","exploratory",6,"2010-2011",0.0106195901458214
"jensen_shannon","exploratory",6,"2011-2012",0.0126794459550321
"jensen_shannon","exploratory",6,"2012-2013",0.0133983946284883
"jensen_shannon","exploratory",6,"2013-2014",0.0645841722484004
"jensen_shannon","exploratory",6,"2014-2015",0.0146913568655143
"jensen_shannon","exploratory",6,"2015-2016",0.0701295652750641
"jensen_shannon","exploratory",6,"2016-2017",0.0364319029827497
"jensen_shannon","exploratory",6,"2017-2018",0.0863756178369447
"jensen_shannon","exploratory",6,"2018-2019",0.07805509840978
"jensen_shannon","exploratory",6,"2019-2020",0.0427665370650555
"jensen_shannon","exploratory",6,"2020-2021",0.0791423574692535
"jensen_shannon","exploratory",6,"2021-2022",0.0732367122645903
"jensen_shannon","exploratory",6,"2022-2023",0.0614723029524183
"jensen_shannon","exploratory",6,"2023-2024",0.0648389759989182
"total_variation","exploratory",6,"2006-2007",0.251746883493557
"total_variation","exploratory",6,"2007-2008",0.245814134798428
"total_variation","exploratory",6,"2008-2009",0.0680980717664065
"total_variation","exploratory",6,"2009-2010",0.0901159490490615
"total_variation","exploratory",6,"2010-2011",0.0628470849043989
"total_variation","exploratory",6,"2011-2012",0.102628184670371
"total_variation","exploratory",6,"2012-2013",0.0846733877387607
"total_variation","exploratory",6,"2013-2014",0.243091097107947
"total_variation","exploratory",6,"2014-2015",0.0887088197916594
"total_variation","exploratory",6,"2015-2016",0.246240753954206
"total_variation","exploratory",6,"2016-2017",0.138520165176264
"total_variation","exploratory",6,"2017-2018",0.270111414618926
"total_variation","exploratory",6,"2018-2019",0.242191275446994
"total_variation","exploratory",6,"2019-2020",0.142229309281284
"total_variation","exploratory",6,"2020-2021",0.221341052500042
"total_variation","exploratory",6,"2021-2022",0.191275308047365
"total_variation","exploratory",6,"2022-2023",0.255360279135681
"total_variation","exploratory",6,"2023-2024",0.280465917928514
"frobenius","primary",8,"2006-2007",57.271342268509
"frobenius","primary",8,"2007-2008",28.3689199366716
"frobenius","primary",8,"2008-2009",43.8527929543768
"frobenius","primary",8,"2009-2010",83.8022928972849
"frobenius","primary",8,"2010-2011",34.6963723046831
"frobenius","primary",8,"2011-2012",106.67533319752
"frobenius","primary",8,"2012-2013",74.6029608686822
"frobenius","primary",8,"2013-2014",58.1016317162122
"frobenius","primary",8,"2014-2015",34.1278500595569
"frobenius","primary",8,"2015-2016",36.4083687971942
"frobenius","primary",8,"2016-2017",56.9207308571836
"frobenius","primary",8,"2017-2018",108.657543607949
"frobenius","primary",8,"2018-2019",78.9811933556121
"frobenius","primary",8,"2019-2020",59.0332870931577
"frobenius","primary",8,"2020-2021",81.0777994883829
"frobenius","primary",8,"2021-2022",46.7118287705476
"frobenius","primary",8,"2022-2023",105.792220227384
